0,BIO_COMC,BIO_COMC_CCS,BIO_STUR,BIO_STUR_CCS,Biogas_ICEN,GAS_Autoproducers,GAS_COMC,GAS_COMC_CCS,GAS_GTUR,GAS_SOFC,GAS_STUR,GEO_STUR,HRD_COMC,HRD_COMC_CCS,HRD_STUR,HYD_PEMFC,LIG_STUR,NUC_STUR,OIL_Autoproducers,OIL_COMC,OIL_GTUR,OIL_STUR,Ocean_TIDAL,Ocean_WAVE,SUN_PHOT,SUN_STUR,WAT_HDAM,WAT_HPHS,WAT_HROR,WIN_WTOF,WIN_WTON,GAS_ICEN,BIO_GTUR,BIO_ICEN
AT,2061,0,0,0,30,0,4257,4354,1751,0,178,474,0,0,0,0,246,0,0,0,0,0,0,0,78132,0,3684,2055,6280,0,12362,0,0,0
BE,20,0,1622,0,0,308,14576,7571,4192,0,0,197,0,0,0,0,0,0,0,0,0,0,0,36,129067,0,0,0,105,3864,18130,0,0,0
BG,66,194,11,0,64,0,3276,439,1129,0,213,628,0,0,479,0,1303,475,0,0,0,0,0,0,32493,0,1933,0,51,0,6935,0,0,0
CH,0,0,450,0,68,0,7210,0,1442,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,15550,0,8303,1835,3456,0,12125,0,0,0
CY,0,0,0,0,25,0,606,166,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,21871,1724,1,0,0,0,0,0,0,0
CZ,1597,0,0,0,0,181,6713,3305,2403,0,0,342,0,0,800,0,1684,1926,0,0,0,0,0,0,26774,0,793,280,227,0,41890,0,0,0
DE,9769,0,384,0,11,0,100229,8513,21317,0,0,2475,0,0,0,0,4089,0,0,216,0,249,216,0,267570,0,1166,275,3402,105545,106972,0,0,0
DK,506,998,0,0,69,0,7783,0,1974,0,0,209,0,12,0,0,0,0,0,0,0,0,0,0,12772,0,1,0,0,1246,46685,0,0,0
EE,73,164,0,74,85,0,1144,597,473,0,1432,0,0,0,0,0,0,0,0,0,0,0,0,0,4839,0,1,0,0,868,7843,0,0,0
EL,238,0,163,0,0,0,6875,0,1085,0,0,0,0,0,0,378,833,0,0,0,251,0,0,0,95597,16938,2358,0,49,0,6791,0,0,0
ES,2164,0,1948,0,0,0,40342,10994,8312,0,0,64,0,0,0,0,97,1460,0,0,0,0,33,0,307466,61014,10075,1076,2733,0,80422,0,0,0
FI,2161,0,236,0,377,0,9158,1205,2044,0,240,0,0,0,0,0,0,140,0,0,466,0,0,0,23937,0,3035,1585,36,19982,19732,0,0,0
FR,4191,0,0,0,1600,0,69625,0,18273,0,0,74,0,0,0,0,600,17618,0,0,1945,0,11263,0,154564,0,12639,9704,5340,0,310005,0,0,0
HR,170,0,0,0,0,198,1466,1028,538,0,0,227,0,0,0,0,1095,0,0,0,0,0,0,0,3043,0,1533,321,315,0,563,0,0,0
HU,563,0,0,0,612,0,5017,3818,1328,0,0,335,0,0,0,0,0,386,0,15,62,0,0,0,7497,0,0,0,49,0,12701,0,0,0
IE,545,0,0,0,0,0,4347,0,876,0,74,318,0,0,2,0,0,0,0,0,0,0,2790,0,0,0,215,178,19,1000,4396,0,0,0
IT,5783,0,244,0,529,0,58686,4210,14196,0,0,817,0,0,0,0,150,0,0,0,0,0,0,0,404893,37755,11229,6145,4726,0,90694,0,0,0
LT,0,16,44,180,175,0,1832,298,487,0,170,209,0,0,0,0,0,0,0,0,0,18,0,0,5548,0,116,0,0,10,9643,0,0,0
LU,75,0,0,0,0,0,1414,1808,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10370,0,34,11,17,0,300,0,0,0
LV,52,0,0,0,0,345,1343,0,324,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,3698,0,1536,0,0,200,5861,0,0,0
MT,0,0,0,0,0,0,363,15,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,0,1,0,0,11,238,0,0,0
NL,2101,485,0,0,43,1635,30057,0,6477,0,0,192,0,0,0,0,0,0,0,0,0,135,457,0,48627,0,0,0,37,48750,43879,0,0,0
NO,1013,0,0,0,0,0,1713,865,523,208,0,0,0,0,0,506,0,0,0,0,0,0,0,0,5094,0,21233,0,5989,0,14144,0,0,0
PL,3756,0,0,0,55,1717,30777,0,7157,0,0,1142,0,0,0,0,9983,0,0,0,0,400,0,0,52725,0,463,1649,464,20482,78772,0,0,0
PT,694,0,465,0,0,0,6804,31,868,0,0,665,0,0,0,0,0,0,0,0,0,0,0,0,44666,16250,1814,1633,2203,0,7290,0,0,0
RO,390,0,67,0,0,186,8177,0,2358,0,453,0,0,0,885,0,0,593,0,0,0,0,0,0,10928,0,6282,53,0,0,14557,0,0,0
SE,1571,0,13,0,485,0,3012,1812,3263,0,0,0,0,0,0,9249,0,2251,0,0,940,1840,0,0,40798,0,8117,2080,8117,140,93272,0,0,0
SI,327,0,24,0,35,0,1532,1129,490,0,0,90,0,0,0,0,250,0,0,0,0,0,0,0,12547,0,932,1130,192,0,2425,0,0,0
SK,614,0,0,0,25,200,2625,2343,825,1027,0,288,0,0,440,0,9,872,0,0,0,0,0,0,17871,0,845,397,751,0,19001,0,0,0
UK,6363,0,17,0,0,955,88583,0,20083,0,0,981,0,0,0,0,448,0,0,0,0,0,13360,0,124678,0,1501,671,140,43451,220196,0,0,0
