,small,medium,large
AT,0.296988537,0.568213504,0.134797959
BE,0.32187243,0.568883277,0.109244293
BG,0.492047925,0.430018657,0.077933417
CH,0.261101718,0.511791403,0.227106879
CZ,0.408515543,0.502759983,0.088724473
DE,0.34931385,0.500347674,0.150338477
DK,0.34931385,0.500347674,0.150338477
EE,0.141913476,0.576432,0.281654524
EL,0.244096548,0.686229421,0.069674031
ES,0.269478172,0.631904042,0.098617786
FI,0.225382053,0.584249834,0.190368113
FR,0.297847604,0.628436764,0.073715632
HR,0.400522213,0.522707411,0.076770376
HU,0.492047925,0.430018657,0.077933417
IE,0.384984349,0.555126415,0.059889237
IT,0.244096548,0.686229421,0.069674031
LT,0.11908761,0.605769246,0.275143144
LU,0.34931385,0.500347674,0.150338477
LV,0.11908761,0.605769246,0.275143144
NL,0.32187243,0.568883277,0.109244293
NO,0.179450491,0.614050215,0.206499294
PL,0.403104821,0.517526998,0.079368181
PT,0.446414697,0.452574095,0.101011209
RO,0.492047925,0.430018657,0.077933417
SE,0.395704317,0.433756474,0.170539209
SI,0.367352208,0.55892599,0.073721803
SK,0.408515543,0.502759983,0.088724473
UK,0.349806839,0.515533812,0.134659349
