,,,Var,Standard,Standard,IT,IT,DE,DE,ES,ES,FR,FR,NO,NO,FI,FI,UK,UK,PL,PL,RO,RO,HU,HU,EL,EL,NL,NL,EE,EE,BE,BE,LU,LU,BG,BG,LV,LV,LT,LT,SI,SI,AT,AT,CH,CH,CZ,CZ,SK,SK,DK,DK,HR,HR,IE,IE,PT,PT,SE,SE
User,Activity type,Window number,h,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End
Working,Free time,1,0,0,5,0,5,0,5,0,6,0,5,0,4.5,0,4.5,0,5,0,5,0,5,0,5,0,6,0,5,0,5,0,5,0,5,0,4.5,0,5,0,4.5,0,4.5,0,5,0,5,0,5,0,5,0,5,0,4.5,0,5,0,6,0,4.5
Working,Main,1,1,6,10,6,10,6,10,7,11,6,10,5.5,9.5,5.5,9.5,6,10,6,10,6,10,6,10,7,11,6,10,6,10,6,10,6,10,5.5,9.5,6,10,5.5,9.5,5.5,9.5,6,10,6,10,6,10,6,10,6,10,5.5,9.5,6,10,7,11,5.5,9.5
Working,Free time,2,0,11,13.5,11,15,11,13.5,12,16,11,14.5,10.5,13,10.5,13,11,14.5,11,13.5,11,13.5,11,13.5,12,16,11,14,11,14,11,14,11,14,10.5,14.5,11,15,10.5,15,10.5,13.5,11,13.5,11,13.5,11,13.5,11,13.5,11,13.5,10.5,13.5,11,14.5,12,16,10.5,13
Working,Main,2,1,14.5,18.5,16,20,14.5,18.5,17,21,15.5,19.5,14,18,14,18,15.5,19.5,14.5,18.5,14.5,18.5,14.5,18.5,17,21,15,19,15,19,15,19,15,19,15.5,19.5,16,20,16,20,14.5,18.5,14.5,18.5,14.5,18.5,14.5,18.5,14.5,18.5,14.5,18.5,14.5,18.5,15.5,19.5,17,21,14,18
Working,Free time,3,0,19.5,24,21,24,19.5,24,22,24,20.5,24,19,24,19,24,20.5,24,19.5,24,19.5,24,19.5,24,22,24,20,24,20,24,20,24,20,24,20.5,24,21,24,21,24,19.5,24,19.5,24,19.5,24,19.5,24,19.5,24,19.5,24,19.5,24,20.5,24,22,24,19,24
Student,Free time,1,0,0,6,0,6,0,6,0,7,0,6,0,5.5,0,5.5,0,6,0,6,0,6,0,6,0,7,0,6,0,6,0,6,0,6,0,5.5,0,6,0,5.5,0,5.5,0,6,0,6,0,6,0,6,0,6,0,5.5,0,6,0,7,0,5.5
Student,Main,1,1,7,10,7,10,7,10,8,11,7,10,6.5,9.5,6.5,9.5,7,10,7,10,7,10,7,10,8,11,7,10,7,10,7,10,7,10,6.5,9.5,7,10,6.5,9.5,6.5,9.5,7,10,7,10,7,10,7,10,7,10,6.5,9.5,7,10,8,11,6.5,9.5
Student,Main,2,1,12,13,12,14.5,12,13,13,15.5,12,14,11.5,12.5,11.5,12.5,12,14,12,13,12,13,12,13,13,15.5,12,13.5,12,13.5,12,13.5,12,13.5,11.5,14,12,14.5,11.5,14.5,11.5,13,12,13,12,13,12,13,12,13,12,13,11.5,13,12,14,13,15.5,11.5,12.5
Student,Main,3,1,15,18,16.5,19.5,15,18,17.5,20.5,16,19,14.5,17.5,14.5,17.5,16,19,15,18,15,18,15,18,17.5,20.5,15.5,18.5,15.5,18.5,15.5,18.5,15.5,18.5,16,19,16.5,19.5,16.5,19.5,15,18,15,18,15,18,15,18,15,18,15,18,15,18,16,19,17.5,20.5,14.5,17.5
Student,Free time,2,0,19,24,20.5,24,19,24,21.5,24,20,24,18.5,24,18.5,24,19,24,19,24,19,24,19,24,21.5,24,19.5,24,19.5,24,19.5,24,19.5,24,20,24,20.5,24,20.5,24,19,24,19,24,19,24,19,24,19,24,19,24,19,24,19,24,21.5,24,18.5,24
Inactive,Free time,1,0,0,6,0,6,0,6,0,7,0,6,0,5.5,0,5.5,0,6,0,6,0,6,0,6,0,7,0,6,0,6,0,6,0,6,0,5.5,0,6,0,5.5,0,5.5,0,6,0,6,0,6,0,6,0,6,0,5.5,0,6,0,7,0,5.5
Inactive,Main,1,1,7,19.5,7,21,7,19.5,8,22,7,20.5,6.5,19,6.5,19,7,20.5,7,19.5,7,19.5,7,19.5,8,22,7,20,7,20,7,20,7,20,6.5,20.5,7,21,6.5,21,6.5,19.5,7,19.5,7,19.5,7,19.5,7,19.5,7,19.5,6.5,19.5,7,20.5,8,22,6.5,19
Inactive,Free time,2,0,20.5,24,22,24,20.5,24,23,24,21.5,24,20,24,20,24,21.5,24,20.5,24,20.5,24,20.5,24,23,24,21,24,21,24,21,24,21,24,21.5,24,22,24,22,24,20.5,24,20.5,24,20.5,24,20.5,24,20.5,24,20.5,24,20.5,24,21.5,24,23,24,20,24
