time,DK,AT,BE,BG,CZ,DE,EE,IE,ES,FR,HR,IT,LV,LT,LU,HU,NL,PL,PT,RO,SI,SK,FI,SE,NO,CH,UK,EL
2016-01-01 00:00:00,3.729,-2.145,4.932,-9.175,-3.979,2.064,-7.673,1.902,8.832,5.571,-2.705,3.064,-10.61,-12.851,2.631,-7.096,5.421,-8.731,10.233,-8.752,-3.871,-9.297,-6.118,-0.782,-0.005,2.063,2.95,-0.113
2016-01-01 01:00:00,3.717,-2.043,4.816,-9.45,-3.826,1.965,-7.603,2.033,8.697,5.415,-2.607,3.026,-10.609,-12.746,2.391,-7.312,5.546,-8.784,10.083,-9.033,-3.734,-9.229,-6.287,-0.743,0.11,1.943,2.615,-0.074
2016-01-01 02:00:00,3.645,-1.954,4.651,-9.729,-3.652,1.887,-7.586,2.237,8.618,5.288,-2.546,2.984,-10.589,-12.608,2.143,-7.53,5.559,-8.797,9.98,-9.317,-3.464,-9.056,-6.453,-0.701,0.194,1.867,2.377,-0.243
2016-01-01 03:00:00,3.519,-1.956,4.518,-9.989,-3.485,1.885,-7.58,2.504,8.625,5.177,-2.547,2.927,-10.563,-12.482,2.18,-7.732,5.268,-8.851,9.93,-9.574,-3.342,-8.923,-6.601,-0.562,0.277,1.819,2.266,-0.083
2016-01-01 04:00:00,3.401,-2.041,4.447,-10.204,-3.374,1.866,-7.614,2.872,8.65,5.131,-2.565,2.839,-10.506,-12.323,2.327,-7.912,5.072,-8.904,9.952,-9.798,-3.382,-8.873,-6.728,-0.507,0.339,1.83,2.223,-0.279
2016-01-01 05:00:00,3.355,-2.048,4.339,-10.38,-3.297,1.867,-7.701,3.33,8.665,5.056,-2.577,2.737,-10.341,-12.124,2.4,-8.056,5.033,-8.939,10.069,-9.995,-3.541,-8.91,-6.831,-0.455,0.405,1.791,2.294,-0.626
2016-01-01 06:00:00,3.392,-2.006,4.115,-9.423,-3.252,1.869,-7.79,3.877,8.682,4.896,-2.583,2.706,-10.119,-11.876,2.408,-8.111,5.074,-8.928,10.436,-9.491,-3.658,-8.978,-6.968,-0.368,0.453,1.651,2.467,0.425
2016-01-01 07:00:00,3.471,-1.678,3.805,-6.939,-3.044,1.926,-7.823,4.397,8.749,4.764,-1.988,3.342,-9.781,-11.323,2.51,-7.139,5.024,-8.362,10.842,-7.657,-2.913,-8.116,-7.107,-0.142,0.415,1.525,2.662,1.991
2016-01-01 08:00:00,3.607,-0.891,3.897,-4.464,-2.424,2.493,-7.589,4.924,9.507,5.218,-0.925,4.761,-8.97,-9.842,2.823,-5.712,4.933,-7.219,11.421,-5.636,-1.658,-6.647,-7.135,0.049,0.335,2.302,2.913,3.048
2016-01-01 09:00:00,3.769,0.04,4.47,-2.5,-1.623,3.164,-7.428,5.452,10.646,5.915,0.252,6.075,-8.136,-8.721,3.279,-3.89,5.396,-6.018,12.361,-4.253,-0.22,-5.203,-7.043,0.273,0.379,3.358,3.501,3.977
2016-01-01 10:00:00,3.952,1.124,5.156,-1.36,-0.746,3.777,-7.387,6.008,11.932,6.768,1.231,7.256,-7.759,-8.327,3.897,-2.842,5.904,-4.983,13.437,-3.487,1.334,-3.968,-7.025,0.429,0.529,4.387,4.167,4.696
2016-01-01 11:00:00,4.142,2.094,5.977,-0.729,0.006,4.331,-7.453,6.532,13.151,7.616,1.873,8.021,-7.611,-8.238,4.486,-2.269,6.323,-4.341,14.439,-3.126,2.574,-3.195,-7.139,0.5,0.596,5.307,4.762,5.167
2016-01-01 12:00:00,4.208,2.535,6.629,-0.655,0.424,4.651,-7.688,6.92,13.988,8.257,2.138,8.32,-7.75,-8.455,5.021,-2.051,6.45,-4.158,15.217,-3.203,3.199,-2.93,-7.457,0.457,0.517,5.75,5.26,5.332
2016-01-01 13:00:00,3.99,2.167,6.88,-1.256,0.197,4.617,-8.071,7.202,14.392,8.579,1.987,8.177,-8.121,-9.127,5.332,-2.18,6.339,-4.503,15.405,-3.821,3.03,-3.17,-7.809,0.275,0.261,5.559,5.52,5.086
2016-01-01 14:00:00,3.533,0.607,6.668,-3.345,-1.133,3.932,-8.437,7.453,14.437,8.369,1.099,7.337,-8.451,-9.831,5.125,-2.944,5.995,-5.562,14.934,-5.365,1.328,-4.187,-8.077,0.069,-0.055,4.36,5.506,3.801
2016-01-01 15:00:00,3.47,-0.713,6.068,-4.826,-2.004,3.014,-8.936,7.757,14.022,7.54,-0.044,5.789,-8.64,-10.155,4.117,-3.62,5.528,-6.255,14.18,-6.473,-0.167,-4.945,-8.359,-0.06,-0.369,2.391,5.46,2.596
2016-01-01 16:00:00,3.694,-0.992,5.711,-5.438,-2.167,2.751,-9.448,8.113,12.885,6.834,-0.566,5.039,-8.839,-10.32,3.909,-3.903,5.421,-6.718,13.228,-7.063,-0.503,-5.36,-8.689,-0.17,-0.642,1.556,5.566,2.497
2016-01-01 17:00:00,3.633,-1.152,5.39,-6.02,-2.277,2.47,-9.903,8.348,12.076,6.615,-0.998,4.615,-9.065,-10.409,3.811,-4.137,5.292,-7.205,12.274,-7.588,-0.792,-5.741,-9.006,-0.301,-0.896,1.269,5.741,2.601
2016-01-01 18:00:00,3.125,-1.372,5.113,-6.48,-2.382,2.17,-10.321,8.422,11.76,6.525,-1.372,4.249,-9.286,-10.471,3.64,-4.353,5.151,-7.699,11.808,-8.068,-1.218,-6.125,-9.318,-0.49,-1.118,1.064,5.891,2.621
2016-01-01 19:00:00,2.846,-1.703,4.874,-6.774,-2.52,1.899,-10.702,8.322,11.522,6.51,-1.669,3.922,-9.481,-10.575,3.469,-4.582,5.036,-8.125,11.592,-8.519,-1.625,-6.512,-9.582,-0.719,-1.324,0.822,6.019,2.648
2016-01-01 20:00:00,3.019,-2.033,4.674,-6.951,-2.697,1.668,-11.075,8.16,11.275,6.557,-1.851,3.583,-9.691,-10.649,3.27,-4.866,4.931,-8.473,11.379,-8.96,-1.872,-6.878,-9.83,-0.984,-1.524,0.621,6.132,2.631
2016-01-01 21:00:00,3.182,-2.259,4.573,-7.095,-2.914,1.412,-11.407,8.021,11.037,6.643,-1.869,3.301,-9.92,-10.861,3.143,-5.23,4.804,-8.741,11.198,-9.316,-1.977,-7.286,-10.078,-1.305,-1.655,0.5,6.223,2.634
2016-01-01 22:00:00,3.15,-2.412,4.515,-7.213,-3.163,1.208,-11.649,8.012,10.706,6.689,-1.793,3.121,-10.208,-11.255,2.952,-5.728,4.732,-8.959,10.984,-9.577,-2.088,-7.738,-10.299,-1.712,-1.734,0.377,6.329,2.759
2016-01-01 23:00:00,2.939,-2.448,4.493,-7.46,-3.379,1.075,-11.821,8.127,10.226,6.727,-1.754,3.009,-10.579,-11.638,2.638,-6.272,4.595,-9.154,10.827,-9.773,-2.268,-8.13,-10.538,-2.122,-1.803,0.211,6.451,2.827
2016-01-02 00:00:00,2.645,-2.603,4.464,-7.782,-3.495,0.909,-11.945,8.197,9.663,6.775,-1.821,2.952,-11.109,-12.013,2.406,-6.754,4.386,-9.329,10.703,-9.916,-2.529,-8.439,-10.765,-2.495,-1.795,0.02,6.574,2.858
2016-01-02 01:00:00,2.274,-2.863,4.467,-8.152,-3.577,0.735,-12.047,8.215,9.265,6.826,-1.947,2.941,-11.73,-12.407,2.543,-7.149,4.24,-9.488,10.759,-10.027,-2.885,-8.673,-10.924,-2.839,-1.698,-0.188,6.725,2.833
2016-01-02 02:00:00,1.886,-3.114,4.47,-8.506,-3.697,0.519,-12.172,8.217,9.003,6.888,-2.068,2.99,-12.276,-12.86,2.933,-7.483,4.127,-9.624,10.803,-10.177,-3.203,-8.808,-11.072,-3.148,-1.61,-0.303,6.903,2.803
2016-01-02 03:00:00,1.505,-3.354,4.433,-8.809,-3.855,0.302,-12.283,8.172,8.76,6.941,-2.275,3.051,-12.735,-13.25,3.311,-7.811,4.071,-9.798,10.727,-10.36,-3.414,-9.029,-11.136,-3.404,-1.606,-0.304,7.041,2.854
2016-01-02 04:00:00,1.105,-3.516,4.483,-9.099,-4.044,0.117,-12.407,8.097,8.56,7.037,-2.522,3.094,-13.071,-13.515,3.43,-8.089,4.026,-10.026,10.584,-10.557,-3.706,-9.27,-11.149,-3.64,-1.679,-0.096,7.17,2.91
2016-01-02 05:00:00,0.642,-3.584,4.579,-9.398,-4.169,-0.015,-12.548,8.019,8.321,7.055,-2.724,3.152,-13.299,-13.778,3.441,-8.285,3.981,-10.252,10.402,-10.792,-3.893,-9.457,-11.18,-3.882,-1.868,0.137,7.291,2.941
