,Load Profile
2016-01-01 00:00:00,0.20500000000000013
2016-01-01 00:01:00,38109.185085163386
2016-01-01 00:02:00,38109.18808516338
2016-01-01 00:03:00,38109.18808516338
2016-01-01 00:04:00,82468.97396602525
2016-01-01 00:05:00,82468.97596602525
2016-01-01 00:06:00,82468.97696602525
2016-01-01 00:07:00,82468.98196602525
2016-01-01 00:08:00,82468.98296602526
2016-01-01 00:09:00,228188.42667149674
2016-01-01 00:10:00,229853.03180824008
2016-01-01 00:11:00,272454.43836708245
2016-01-01 00:12:00,292794.12945387734
2016-01-01 00:13:00,292794.13045387727
2016-01-01 00:14:00,292794.13745387737
2016-01-01 00:15:00,248434.3615730155
2016-01-01 00:16:00,248434.36357301552
2016-01-01 00:17:00,248434.36357301552
2016-01-01 00:18:00,203877.97585795907
2016-01-01 00:19:00,62941.35164563726
2016-01-01 00:20:00,0.2650000000000002
2016-01-01 00:21:00,0.2680000000000002
2016-01-01 00:22:00,14154.551486716857
2016-01-01 00:23:00,14154.556486716858
2016-01-01 00:24:00,14154.558486716858
2016-01-01 00:25:00,57946.7462737168
2016-01-01 00:26:00,57946.74927371681
2016-01-01 00:27:00,91943.033105927
2016-01-01 00:28:00,91943.03810592699
2016-01-01 00:29:00,142414.7528160394
2016-01-01 00:30:00,181587.0248211249
2016-01-01 00:31:00,181587.02782112488
2016-01-01 00:32:00,223215.56062452297
2016-01-01 00:33:00,223215.56462452296
2016-01-01 00:34:00,256090.06373723576
2016-01-01 00:35:00,256090.06473723575
2016-01-01 00:36:00,262308.5333742363
2016-01-01 00:37:00,262308.53537423635
2016-01-01 00:38:00,308268.28794961196
2016-01-01 00:39:00,308268.2919496119
2016-01-01 00:40:00,269096.0239445265
2016-01-01 00:41:00,302430.7585305852
2016-01-01 00:42:00,382490.73972744565
2016-01-01 00:43:00,268199.1030850365
2016-01-01 00:44:00,171767.64379954862
2016-01-01 00:45:00,255408.65866579942
2016-01-01 00:46:00,255408.66166579945
2016-01-01 00:47:00,255408.66466579947
2016-01-01 00:48:00,255408.66666579948
2016-01-01 00:49:00,238071.05072740422
2016-01-01 00:50:00,299444.2198930813
2016-01-01 00:51:00,204065.37122525708
2016-01-01 00:52:00,300469.75054569927
2016-01-01 00:53:00,255035.19370474244
2016-01-01 00:54:00,255035.19570474245
2016-01-01 00:55:00,262289.48690445273
2016-01-01 00:56:00,262289.4889044527
2016-01-01 00:57:00,262289.4899044527
2016-01-01 00:58:00,189661.02265077463
2016-01-01 00:59:00,242907.64636012804
2016-01-01 01:00:00,284177.96010549844
2016-01-01 01:01:00,284177.9621054984
2016-01-01 01:02:00,265022.85137819906
2016-01-01 01:03:00,265022.8533781991
2016-01-01 01:04:00,262243.2778590709
2016-01-01 01:05:00,320572.1449170976
2016-01-01 01:06:00,320572.1459170976
2016-01-01 01:07:00,270990.6067647137
2016-01-01 01:08:00,270990.6087647137
2016-01-01 01:09:00,217743.99005536048
2016-01-01 01:10:00,178212.35482626603
2016-01-01 01:11:00,98290.78902435185
2016-01-01 01:12:00,114695.60536598308
2016-01-01 01:13:00,114695.60536598308
2016-01-01 01:14:00,53217.209831175074
2016-01-01 01:15:00,141226.52122762238
2016-01-01 01:16:00,152154.57189905102
2016-01-01 01:17:00,152154.57189905102
2016-01-01 01:18:00,204750.09308784155
2016-01-01 01:19:00,204750.09308784155
2016-01-01 01:20:00,204750.09308784155
2016-01-01 01:21:00,188345.27674621026
2016-01-01 01:22:00,188345.27674621026
2016-01-01 01:23:00,188345.27674621026
2016-01-01 01:24:00,0.3880000000000003
2016-01-01 01:25:00,0.3880000000000003
2016-01-01 01:26:00,0.3880000000000003
2016-01-01 01:27:00,0.3880000000000003
2016-01-01 01:28:00,0.3880000000000003
2016-01-01 01:29:00,0.3880000000000003
2016-01-01 01:30:00,44859.203740834564
2016-01-01 01:31:00,113375.05609109411
2016-01-01 01:32:00,160303.03975546526
2016-01-01 01:33:00,212848.56985055053
2016-01-01 01:34:00,212848.56985055053
2016-01-01 01:35:00,229361.6361135754
2016-01-01 01:36:00,229361.6361135754
2016-01-01 01:37:00,230417.06031945927
2016-01-01 01:38:00,177871.53022437493
2016-01-01 01:39:00,254105.097005418
2016-01-01 01:40:00,294216.53058123984
2016-01-01 01:41:00,294216.53058123984
2016-01-01 01:42:00,247288.54691686822
2016-01-01 01:43:00,293126.1960168094
2016-01-01 01:44:00,276613.1297537845
2016-01-01 01:45:00,230698.88980706525
2016-01-01 01:46:00,154938.19438306632
2016-01-01 01:47:00,154938.19438306632
2016-01-01 01:48:00,150828.3047458674
2016-01-01 01:49:00,211034.08769167674
2016-01-01 01:50:00,210105.74378277746
2016-01-01 01:51:00,250609.20110848473
2016-01-01 01:52:00,252861.67655746304
2016-01-01 01:53:00,252861.67655746304
2016-01-01 01:54:00,208915.67908333603
2016-01-01 01:55:00,191119.72676841787
2016-01-01 01:56:00,206877.9976757167
2016-01-01 01:57:00,162263.07541846493
2016-01-01 01:58:00,104352.24078192444
2016-01-01 01:59:00,122690.50742621723
2016-01-01 02:00:00,74600.3828772983
2016-01-01 02:01:00,123826.15616103745
2016-01-01 02:02:00,162313.98925598533
2016-01-01 02:03:00,141421.5836175146
2016-01-01 02:04:00,141421.5836175146
2016-01-01 02:05:00,171200.04998832004
2016-01-01 02:06:00,213714.64657300705
2016-01-01 02:07:00,256274.34689920262
2016-01-01 02:08:00,234399.40565680552
2016-01-01 02:09:00,166835.36572877408
2016-01-01 02:10:00,166835.36572877408
2016-01-01 02:11:00,166835.36572877408
2016-01-01 02:12:00,166835.36572877408
2016-01-01 02:13:00,85074.68491088228
2016-01-01 02:14:00,42514.98458468677
2016-01-01 02:15:00,80990.78735439577
2016-01-01 02:16:00,100054.68274851037
2016-01-01 02:17:00,57540.086163823355
2016-01-01 02:18:00,57540.086163823355
2016-01-01 02:19:00,57540.086163823355
2016-01-01 02:20:00,57540.086163823355
2016-01-01 02:21:00,57540.086163823355
2016-01-01 02:22:00,57540.086163823355
2016-01-01 02:23:00,57540.086163823355
2016-01-01 02:24:00,38476.190769708744
2016-01-01 02:25:00,38476.190769708744
2016-01-01 02:26:00,0.3880000000000003
2016-01-01 02:27:00,0.3880000000000003
2016-01-01 02:28:00,0.3880000000000003
2016-01-01 02:29:00,36366.23249744279
2016-01-01 02:30:00,36366.23249744279
2016-01-01 02:31:00,36366.23249744279
2016-01-01 02:32:00,36366.23249744279
2016-01-01 02:33:00,36366.23249744279
2016-01-01 02:34:00,36366.23249744279
2016-01-01 02:35:00,36366.23249744279
2016-01-01 02:36:00,36366.23249744279
2016-01-01 02:37:00,84015.27259189203
2016-01-01 02:38:00,36366.23249744279
2016-01-01 02:39:00,153512.30163761103
2016-01-01 02:40:00,198656.30894807508
2016-01-01 02:41:00,308568.10022128554
2016-01-01 02:42:00,308568.10022128554
2016-01-01 02:43:00,354922.77054718375
2016-01-01 02:44:00,354922.77054718375
2016-01-01 02:45:00,401027.0278409494
2016-01-01 02:46:00,514773.3478846418
2016-01-01 02:47:00,480873.7810174899
2016-01-01 02:48:00,342347.9050222209
2016-01-01 02:49:00,298951.8651423146
2016-01-01 02:50:00,251469.38382215312
2016-01-01 02:51:00,205114.71349625333
2016-01-01 02:52:00,264438.1498893094
2016-01-01 02:53:00,264438.1498893094
2016-01-01 02:54:00,236174.58686160596
2016-01-01 02:55:00,122428.26681791361
2016-01-01 02:56:00,95955.88006711652
2016-01-01 02:57:00,138337.91764989588
2016-01-01 02:58:00,198191.28228017062
2016-01-01 02:59:00,375179.4518058106
2016-01-01 03:00:00,375179.4518058106
2016-01-01 03:01:00,447053.48371448973
2016-01-01 03:02:00,447053.48371448973
2016-01-01 03:03:00,428262.12230649084
2016-01-01 03:04:00,447793.9577111323
2016-01-01 03:05:00,555483.01245675
2016-01-01 03:06:00,501180.6762666178
2016-01-01 03:07:00,442360.5482149712
2016-01-01 03:08:00,213693.54113005404
2016-01-01 03:09:00,216465.5501243834
2016-01-01 03:10:00,179608.2051659236
2016-01-01 03:11:00,159730.32441511887
2016-01-01 03:12:00,142235.67549522003
2016-01-01 03:13:00,184216.8975874911
2016-01-01 03:14:00,184216.8975874911
2016-01-01 03:15:00,219607.76755867162
2016-01-01 03:16:00,219607.76755867162
2016-01-01 03:17:00,172426.85068506902
2016-01-01 03:18:00,216599.40998334927
2016-01-01 03:19:00,264617.38873772265
2016-01-01 03:20:00,219570.457358413
2016-01-01 03:21:00,219570.457358413
2016-01-01 03:22:00,211790.58373754247
2016-01-01 03:23:00,211790.58373754247
2016-01-01 03:24:00,230806.2806377835
2016-01-01 03:25:00,230806.2806377835
2016-01-01 03:26:00,146616.8218958236
2016-01-01 03:27:00,194206.49717101452
2016-01-01 03:28:00,188813.78398450883
2016-01-01 03:29:00,188813.78398450883
2016-01-01 03:30:00,188813.78398450883
2016-01-01 03:31:00,169798.0870842678
2016-01-01 03:32:00,185896.72499488524
2016-01-01 03:33:00,143723.68323058306
2016-01-01 03:34:00,143723.68323058306
2016-01-01 03:35:00,100331.73394870623
2016-01-01 03:36:00,100331.73394870623
2016-01-01 03:37:00,52742.05867351407
2016-01-01 03:38:00,70570.59338809663
2016-01-01 03:39:00,70570.59338809663
2016-01-01 03:40:00,33927.560625199985
2016-01-01 03:41:00,82414.28069022037
2016-01-01 03:42:00,82414.28069022037
2016-01-01 03:43:00,82414.28069022037
2016-01-01 03:44:00,92199.68175876155
2016-01-01 03:45:00,130091.6344894707
2016-01-01 03:46:00,180622.37826393606
2016-01-01 03:47:00,180622.37826393606
2016-01-01 03:48:00,227539.77876679032
2016-01-01 03:49:00,227539.77876679032
2016-01-01 03:50:00,211309.2669165992
2016-01-01 03:51:00,211309.2669165992
2016-01-01 03:52:00,408258.6820613396
2016-01-01 03:53:00,407113.57720824686
2016-01-01 03:54:00,444906.25106323283
2016-01-01 03:55:00,530467.2071339075
2016-01-01 03:56:00,577386.3887720814
2016-01-01 03:57:00,530440.4701600004
2016-01-01 03:58:00,530440.4701600004
2016-01-01 03:59:00,608936.2181900097
2016-01-01 04:00:00,592269.5496882948
2016-01-01 04:01:00,592269.5496882948
2016-01-01 04:02:00,486453.72571223945
2016-01-01 04:03:00,415261.8020111342
2016-01-01 04:04:00,377469.1281561484
2016-01-01 04:05:00,235658.99931882473
2016-01-01 04:06:00,235658.99931882473
2016-01-01 04:07:00,244109.3653651414
2016-01-01 04:08:00,244109.3653651414
2016-01-01 04:09:00,294833.45493785123
2016-01-01 04:10:00,339467.9549238935
2016-01-01 04:11:00,395941.06158371875
2016-01-01 04:12:00,395941.06158371875
2016-01-01 04:13:00,408173.3697161067
2016-01-01 04:14:00,430024.23768200446
2016-01-01 04:15:00,430024.23768200446
2016-01-01 04:16:00,383710.43701420515
2016-01-01 04:17:00,383710.43701420515
2016-01-01 04:18:00,194266.55971232938
2016-01-01 04:19:00,94310.62134785563
2016-01-01 04:20:00,41769.76161160629
2016-01-01 04:21:00,82574.64055246266
2016-01-01 04:22:00,40805.26694085574
2016-01-01 04:23:00,40805.26694085574
2016-01-01 04:24:00,40805.26694085574
2016-01-01 04:25:00,136890.0230431907
2016-01-01 04:26:00,136890.0230431907
2016-01-01 04:27:00,136890.0230431907
2016-01-01 04:28:00,136890.0230431907
2016-01-01 04:29:00,136890.0230431907
2016-01-01 04:30:00,136890.0230431907
2016-01-01 04:31:00,96085.14410233499
2016-01-01 04:32:00,96085.14410233499
2016-01-01 04:33:00,96085.14410233499
2016-01-01 04:34:00,0.3880000000000003
2016-01-01 04:35:00,0.3880000000000003
2016-01-01 04:36:00,0.3880000000000003
2016-01-01 04:37:00,0.3880000000000003
2016-01-01 04:38:00,0.3880000000000003
2016-01-01 04:39:00,0.3880000000000003
2016-01-01 04:40:00,0.3880000000000003
2016-01-01 04:41:00,0.3880000000000003
2016-01-01 04:42:00,93062.85376214974
2016-01-01 04:43:00,146666.53833794684
2016-01-01 04:44:00,146666.53833794684
2016-01-01 04:45:00,146666.53833794684
2016-01-01 04:46:00,146666.53833794684
2016-01-01 04:47:00,146666.53833794684
2016-01-01 04:48:00,205039.93053549592
2016-01-01 04:49:00,205039.9295354959
2016-01-01 04:50:00,271731.8029503967
2016-01-01 04:51:00,172481.44260440976
2016-01-01 04:52:00,172481.43660440974
2016-01-01 04:53:00,156559.02641443195
2016-01-01 04:54:00,157424.44052178194
2016-01-01 04:55:00,141602.18054914603
2016-01-01 04:56:00,141602.174549146
2016-01-01 04:57:00,121630.09974821574
2016-01-01 04:58:00,119884.1235312621
2016-01-01 04:59:00,119884.1205312621
2016-01-01 05:00:00,119884.11653126209
2016-01-01 05:01:00,124941.43342453922
2016-01-01 05:02:00,142470.0624037809
2016-01-01 05:03:00,142470.0624037809
2016-01-01 05:04:00,119489.95785818624
2016-01-01 05:05:00,115601.65122494465
2016-01-01 05:06:00,115601.64722494465
