,0
0,3544.2659999999987
1,5908.259000000004
2,7183.2510000000075
3,8109.238000000007
4,8617.242000000007
5,9431.241000000009
6,9870.240000000009
7,10284.242000000007
8,10690.238000000008
9,10711.243000000008
10,9694.244000000008
11,9462.240000000007
12,8915.237000000006
13,8855.229000000008
14,8505.223000000009
15,7667.225000000005
16,7374.216
17,7408.228000000001
18,7047.226000000001
19,6992.233000000001
20,6780.230000000001
21,7243.220000000001
22,7612.219000000003
23,8216.208000000004
24,8067.210000000005
25,8280.194000000003
26,8001.189000000004
27,7437.182000000003
28,7819.173000000006
29,8528.155000000006
30,9532.150000000007
31,9733.146000000006
32,9205.141000000007
33,8772.131000000007
34,9223.133000000009
35,9794.119000000008
36,10774.106000000009
37,10596.10400000001
38,9678.099000000011
39,9849.088000000009
40,9410.082000000008
41,9118.087000000009
42,9315.086000000008
43,8854.092000000008
44,8136.092000000007
45,8372.088000000007
46,7310.086000000005
47,7986.090000000006
48,7522.090000000004
49,7912.0850000000055
50,15128.084000000006
51,15290.073000000004
52,15485.072000000004
53,16008.063000000006
54,15966.063000000006
55,15688.058000000005
56,14920.061000000005
57,14319.062000000004
58,14680.062000000004
59,14158.057000000003
60,15060.056000000004
61,15401.052000000005
62,15070.055000000004
63,14909.046000000004
64,14233.049000000003
65,14383.045000000002
66,14656.042000000003
67,15043.038000000004
68,15295.034000000003
69,15124.030000000002
70,14411.028000000002
71,14096.027000000002
72,14134.026
73,14014.026
74,14244.022
75,14285.022
76,14300.018
77,14549.014000000001
78,14151.013
79,14502.01
80,14710.004
81,14915.003
82,15118.003
83,14897.007
84,15305.005000000001
85,14712.006000000001
86,14164.007000000001
87,13769.008
88,14198.005000000001
89,14029.006000000001
90,14411.006
91,14827.006000000001
92,14445.007000000001
93,14094.004
94,13949.004
95,14113.007000000001
96,14690.007
97,14924.005000000001
98,15124.004
99,14591.002
100,14175.004
101,13546.008
102,13806.004
103,14404.004
104,14372.004
105,14588.004
106,14923.006
107,15175.001
108,15141.003
109,15362.001
110,15565.003
111,15586.003
112,16158.004
113,15786.003
114,16303.005000000001
115,15705.006000000001
116,14985.004
117,14224.007000000001
118,14606.007
119,14606.007
120,15412.005000000001
121,15992.006000000001
122,15251.003
123,15233.005000000001
124,14911.003
125,14526.002
126,14890.004
127,15106.003
128,14640.005000000001
129,14840.004
130,14268.003
131,13696.002
132,14068.004
133,13847.006000000001
134,13660.006
135,14458.004
136,14648.005000000001
137,14980.005000000001
138,14640.005000000001
139,15786.003
140,15414.001
141,15180.004
142,15193.003
143,15011.002
144,15533.003
145,15546.002
146,14611.004
147,14479.003
148,15064.003
149,14492.002
150,15446.003
151,16416.004
152,15407.006
153,15828.003
154,15425.004
155,14643.008000000002
156,15254.006000000001
157,15241.007000000001
158,14269.008
159,14300.005000000001
160,13826.007000000001
161,13241.007
162,13462.005000000001
163,13834.007
164,13847.006
165,14648.005000000001
166,15188.004
167,15573.005000000001
168,16163.004
169,16558.003
170,16376.002
171,15955.005000000001
172,16556.006999999998
173,15979.007000000001
174,16200.005000000001
175,15742.007000000001
176,15199.007
177,15186.008
178,15373.008
179,15589.007
180,15802.005000000001
181,16577.006
182,15815.004
183,16179.006000000001
184,15997.005000000001
185,15470.005000000001
186,15660.006000000001
187,15457.006000000001
188,14698.005000000001
189,14282.007
190,13710.006
191,13323.007
192,13650.008
193,14255.004
194,14276.003
195,15051.004
196,15230.004
197,15217.005000000001
198,15412.005000000001
199,15620.004
200,15984.006000000001
201,15934.006000000001
202,15997.005000000001
203,15597.007000000001
204,15594.006000000001
205,15323.008000000002
206,14764.006000000001
207,14972.005000000001
208,14777.005000000001
209,15206.002
210,14993.004
211,15043.004
212,14253.006000000001
213,14809.007000000001
214,14809.007
215,14443.009
216,15023.009000000002
217,14867.006000000001
218,14833.007000000001
219,14469.005000000001
220,14456.006000000001
221,14464.006000000001
222,15212.003
223,15386.003
224,15555.004
225,15958.003
226,16135.004
227,16725.002
228,16907.002
229,17245.005
230,17232.006
231,17245.005
232,16466.008
233,16484.006
234,16302.005000000001
235,16244.005000000001
236,15446.007000000001
237,15277.005000000001
238,15188.008000000002
239,15812.005000000001
240,15638.004
241,15825.003
242,15209.005000000001
243,15188.006000000001
244,15164.004
245,14816.004
246,15167.006000000001
247,15167.006000000001
248,14791.009000000002
249,14179.006000000001
250,14153.006000000001
251,13945.005000000001
252,14296.007000000001
253,14478.008000000002
254,14673.008
255,16064.006000000001
256,16441.006
257,16597.007
258,16805.005
259,16868.004
260,17037.005
261,17050.003
262,17050.002
263,16218.004
264,15797.007000000001
265,15264.003
266,14827.004
267,14840.003
268,14632.003
269,15544.003
270,15323.005000000001
271,14970.005000000001
272,14814.002
273,14801.003
274,14991.004
275,14164.007000000001
276,14593.003
277,14354.005000000001
278,14944.003
279,14380.002
280,14346.003
281,14541.003
282,14918.004
283,15529.001
284,15113.002
285,16257.002
286,16660.0
287,17037.001
288,16647.001
289,16837.002
290,16803.003
291,16616.001
292,16790.002
293,16608.001
294,16218.001
295,15776.005000000001
296,15191.005000000001
297,14996.004
298,14770.006000000001
299,15492.006000000001
300,14986.005000000001
301,14620.007000000001
302,13819.006000000001
303,13326.006000000001
304,12923.006000000001
305,12507.007
306,13229.007
307,13229.007000000001
308,13614.007000000001
309,13419.007000000001
310,13996.007000000001
311,14115.007000000001
312,14336.005000000001
313,11171.004
314,11002.001
315,12128.005000000001
316,12544.003
317,13134.002
318,12752.002
319,13303.004
320,13251.007000000001
321,12911.007000000001
322,12716.006000000001
323,12300.008000000002
324,12300.007000000001
325,11897.007000000001
326,7575.006000000001
327,7367.006000000001
328,7159.006000000001
329,8134.006000000001
330,7193.004000000001
331,6590.005999999999
332,6458.004000000001
333,6627.006
334,6245.006
335,5842.006
336,6564.005
337,6548.004
338,6743.003000000001
339,6327.005
340,6704.005000000001
341,7044.005000000001
342,7034.0070000000005
343,7580.009
344,7811.004000000001
345,8565.006000000001
346,9135.009000000002
347,8955.004
348,8786.002
349,8976.003
350,9158.004
351,9421.002
352,9395.004
353,8623.004
354,8420.004
355,8207.006000000001
356,7835.004000000001
357,7822.004000000001
358,8056.001
359,8212.004
360,7783.005
361,7419.003000000001
362,7456.004
363,7651.004
364,7048.005
365,6689.002
366,6879.002
367,6081.004000000001
368,6078.003000000001
369,6247.005000000001
370,6660.0070000000005
371,6610.007
372,6805.0070000000005
373,6813.007000000001
374,6844.004000000001
375,7585.004000000001
376,8157.004000000001
377,8107.004000000001
378,7899.006
379,8263.008000000002
380,8445.012000000002
381,8653.011000000002
382,8809.014000000003
383,8772.015000000001
384,8208.016000000001
385,7823.016000000001
386,7428.017000000001
387,7659.017000000002
388,7270.021000000002
389,7870.020000000001
390,7277.024000000002
391,7095.023000000002
392,6773.025000000002
393,7418.024000000002
394,7610.029000000001
395,7428.029000000002
396,7076.038000000002
397,6894.041000000002
398,7112.040000000003
399,7587.037000000002
400,7938.041000000002
401,8195.041000000003
402,8221.041000000003
403,8472.043000000003
404,8321.041000000003
405,8924.044000000004
406,9184.044000000004
407,9370.044000000004
408,9479.046000000004
409,9112.046000000004
410,9053.051000000001
411,9451.053000000004
412,9615.055000000004
413,9184.054000000002
414,8718.053000000002
415,7761.055000000002
416,7031.0610000000015
417,7285.057000000002
418,6615.059000000001
419,6540.063000000002
420,5921.0650000000005
421,5741.067000000001
422,5529.068000000001
423,5923.068000000003
424,5698.075000000003
425,5575.073000000003
426,5979.073000000002
427,5784.074000000002
428,6048.079000000002
429,6430.077000000004
430,7182.078000000004
431,6974.077000000004
432,7369.076000000003
433,8124.076000000005
434,8279.077000000003
435,9509.075000000004
436,9457.075000000004
437,9545.073000000004
438,9740.072000000004
439,9828.076000000005
440,10055.080000000004
441,9860.080000000004
442,9801.081000000004
443,8844.080000000004
444,8578.079000000002
445,7806.080000000002
446,7644.077000000002
447,7584.078000000002
448,6949.078000000002
449,6617.077000000002
450,5700.074000000001
451,6046.075000000002
452,5923.074000000001
453,6255.074000000002
454,6414.0700000000015
455,5865.0700000000015
456,6219.070000000001
457,5889.068000000001
458,5903.069000000001
459,6098.069000000001
460,7037.071000000002
461,7097.068000000002
462,7256.067000000002
463,7936.066000000002
464,8321.067
465,8711.068
466,8611.067000000001
467,8574.066
468,8379.067000000001
469,7929.067000000001
470,8129.066000000001
471,7739.066000000001
472,7739.066000000001
473,7104.069
474,6725.068000000001
475,6543.067000000001
476,5368.068000000001
477,5753.068
478,5173.067
479,5173.067
480,4788.0650000000005
481,5331.064000000001
482,5178.0650000000005
483,6018.064
484,6748.066000000001
485,6935.068
486,7710.069
487,7702.071000000001
488,8547.07
489,8677.072
490,9002.075
491,8812.076000000001
492,9207.077000000001
493,9597.078000000001
494,9987.079000000002
495,10520.079000000002
496,10520.081000000002
497,10072.081000000002
498,9877.082
499,9342.082
500,9537.083
501,9350.083
502,9373.086000000001
503,8338.087000000001
504,7426.086
505,6909.084
506,6324.086
507,6782.087
508,5981.091
509,6376.091
510,5849.09
511,6044.093
512,5704.093
513,6297.092
514,7027.092
515,7230.091
516,7620.091
517,7560.092
518,8324.095000000001
519,8327.096000000001
520,8917.095000000001
521,8662.097000000002
522,8522.097000000002
523,8972.096000000001
524,9304.097000000002
525,9707.095000000001
526,9962.094
527,9717.094
528,9709.095
529,9564.096
530,9572.095000000001
531,9572.095000000001
532,9632.094000000001
533,8912.092999999999
534,7850.092999999999
535,7602.092999999999
536,7264.092999999999
537,7594.093999999998
538,6949.094999999999
539,6938.095999999999
540,6483.097999999999
541,6865.098999999999
542,6975.098
543,7433.096
544,6893.097
545,6708.094999999999
546,6648.095999999999
547,6656.094999999999
548,7233.095999999999
549,7420.096999999999
550,8192.098
551,7932.099999999999
552,8345.097
553,8587.098
554,9580.096
555,9585.095
556,9620.095000000001
557,9570.095000000001
558,9965.094000000001
559,10295.095
560,10100.095
561,10017.094
562,9890.092
563,9102.093
564,8712.092999999999
565,8647.095
566,8197.096
567,8377.098
568,7897.096999999999
569,7897.096999999999
570,7519.094999999998
571,7701.096999999999
572,8141.096999999999
573,8273.098
574,7486.094999999999
575,7684.094999999999
576,8014.096
577,7572.096
578,7835.093999999999
579,7645.092999999999
580,8425.092999999999
581,8222.094
582,8217.095
583,8789.097999999998
584,9909.098
585,9651.098999999998
586,9648.098999999998
587,9546.096
588,9412.094000000001
589,9742.094000000001
590,9867.09
591,9612.091
592,8822.091
593,8234.091
594,7634.093
595,7813.092000000001
596,7758.091
597,7698.092000000001
598,7653.09
599,7713.088000000001
600,7323.087
601,7570.087
602,7765.084
603,8290.083
604,7365.0830000000005
605,7559.0830000000005
606,7754.082
607,8144.081
608,8399.080000000002
609,8196.081
610,8433.083
611,8462.079000000002
612,8852.079000000002
613,9307.075
614,10232.074
615,10087.073
616,10095.071
617,10045.07
618,9705.069000000001
619,9835.070000000002
620,9643.070000000002
621,9445.069000000001
622,9450.068000000001
623,8805.068000000001
624,8149.071
625,8389.071
626,8004.069
627,8259.068
628,8014.067999999999
629,8022.066
630,7567.068
631,7897.071000000001
632,7757.071000000001
633,7960.070000000001
634,7765.070000000001
635,7755.073000000001
636,7965.067000000001
637,7767.067000000001
638,7759.068000000001
639,7809.066000000001
640,8444.064999999999
641,8439.068
642,8502.068
643,8637.069
644,9817.065
645,9227.067000000001
646,9431.065
647,9371.066
648,9616.066
649,9566.067
650,9424.065000000002
651,8844.064000000002
652,8636.064000000002
653,8116.059
654,7573.06
655,7947.062000000001
656,7610.063
657,8060.061
658,8006.061999999999
659,8261.058
660,7811.06
661,8146.059000000001
662,8338.062
663,8923.062000000002
664,9023.060000000001
665,9073.058
666,9073.058
667,8931.057
668,8973.057
669,8888.057
670,9228.059
671,9488.057
672,9743.055
673,9693.055
674,10278.056
675,9768.058
676,9818.059000000001
677,9563.059000000001
678,9648.061000000002
679,9803.063000000002
680,9608.062000000002
681,8828.063000000002
682,8778.065000000002
683,8441.065
684,8056.064
685,8251.065
686,7551.067000000001
687,7946.067000000001
688,7556.067000000001
689,7791.066000000001
690,7401.067
691,7876.070000000001
692,7536.070000000001
693,8181.069
694,8131.071000000001
695,8326.071000000002
696,8716.073
697,9269.073
698,9854.073000000002
699,9759.072000000002
700,10094.075
701,10239.076000000001
702,10679.076000000001
703,10469.077000000003
704,11064.077000000001
705,10674.077000000001
706,10834.076000000001
707,9652.078000000001
708,9552.080000000002
709,9752.078000000001
710,9565.077000000001
711,9030.077000000001
712,9030.079000000002
713,8503.079000000002
714,8366.079000000002
715,8366.079000000002
716,7968.082
717,8408.081
718,8030.084000000001
719,8336.086000000001
720,8344.088
721,8844.09
722,8394.095000000001
723,8587.102
724,8215.105000000001
725,8278.108000000002
726,8791.106000000002
727,8901.111000000003
728,9041.116000000002
729,8644.118000000002
730,9265.119000000002
731,9270.122000000003
732,9665.122000000001
733,9818.125000000002
734,10166.129
735,9249.136000000002
736,9652.136000000002
737,9385.135000000002
738,9648.137000000002
739,9743.139000000003
740,9632.140000000003
741,9563.138
742,9571.14
743,9181.145999999999
744,8596.144999999999
745,8835.149
746,8606.151999999998
747,8954.158
748,8674.161
749,8882.163999999999
750,8955.161999999998
751,9787.166
752,9624.164999999999
753,9856.171999999999
754,9757.177999999998
755,10173.178999999998
756,10129.180999999999
757,9939.183
758,9998.185999999998
759,9642.190999999999
760,9658.193
761,9183.194
762,9732.195
763,9945.193
764,10486.193
765,10299.195
766,10230.199999999999
767,10472.198999999999
768,10599.205
769,10557.205
770,10880.202
771,10575.205999999998
772,10643.204999999998
773,9856.207999999999
774,9402.203999999998
775,9426.203999999998
776,9426.206999999999
777,9454.212
778,9448.216999999999
779,9906.214999999998
780,9990.212999999998
781,10026.213999999998
782,9620.215999999997
783,9985.213999999998
784,10056.211999999998
785,10451.210999999998
786,10443.211999999998
787,10274.208999999997
788,10464.209999999997
789,10371.209999999997
790,10394.212
791,10188.212999999998
792,10817.214
793,10814.214999999998
794,11650.208999999999
795,11344.204999999998
796,11116.202999999998
797,11407.203999999998
798,11539.203999999998
799,11554.198999999999
800,11486.199999999999
801,11303.202999999998
802,11168.202
803,10455.202999999998
804,9870.202
805,9742.204
806,9479.203
807,9581.202
808,9123.204
809,9448.2
810,9589.195
811,10030.194
812,9970.194
813,10465.188999999998
814,10660.187
815,10671.184
816,10866.179999999998
817,11022.177
818,10967.176
819,10762.174
820,11142.164999999999
821,10361.166
822,10428.167
823,10549.167000000001
824,11121.158
825,10607.152
826,10523.152
827,9964.147
828,10562.143
829,9759.140000000001
830,9927.135000000002
831,9529.135
832,9510.137
833,8761.139000000001
834,8086.138
835,8211.137
836,8008.136
837,7948.133
838,7493.134000000001
839,7701.130000000002
840,7446.123000000001
841,8143.118000000001
842,8406.112000000003
843,8802.109000000002
844,9827.107000000004
845,9696.108000000002
846,9831.102
847,10018.103000000001
848,10273.098000000004
849,10132.101000000002
850,10134.097000000003
851,9942.093000000003
852,10197.087000000003
853,10222.083000000002
854,10757.079000000003
855,10101.077000000001
856,10093.074000000002
857,9890.070000000002
858,9770.068000000001
859,9463.064000000002
860,9463.058
861,9065.055
862,9005.053000000002
863,8300.051000000001
864,6774.052000000001
865,7411.046000000002
866,7276.0430000000015
867,7369.040000000003
868,6971.037000000002
869,7171.031000000002
870,7111.026000000002
871,7441.027000000002
872,7186.027000000001
873,7626.027000000001
874,8396.027000000002
875,7993.030000000001
876,8188.028000000001
877,8188.027000000001
878,8781.025000000001
879,8776.025000000001
880,9187.022
881,9379.02
882,9179.021
883,9269.021
884,9604.022
885,9609.022
886,9415.022
887,9225.021
888,9217.022
889,9362.022
890,9187.021
891,8797.023
892,8602.023
893,8396.026
894,7226.026
895,7816.0250000000015
896,7676.0250000000015
897,8063.0250000000015
898,7868.024000000001
899,7868.0250000000015
900,7681.024000000001
901,7681.023000000001
902,7676.024
903,7710.025000000001
904,8737.025000000001
905,7952.026
906,8327.026
907,8392.024000000001
908,8587.024000000001
909,8462.022
910,8787.024
911,8969.026
912,9564.024
913,9709.024
914,9854.024
915,9855.024000000001
916,9855.024000000001
917,9660.024000000001
918,9860.023000000001
919,10013.022
920,9818.021
921,9623.021
922,9434.02
923,9219.021
924,8239.021
925,8634.018
926,8439.017
927,8439.017
928,8049.017
929,8049.017
930,7860.016
931,7860.013999999999
932,7470.013999999999
933,7520.013999999999
934,8342.014
935,7752.013999999999
936,7947.013999999999
937,8142.013
938,8532.013
939,7997.013
940,8381.011
941,8771.011000000002
942,8966.011000000002
943,8921.010000000002
944,8871.010000000002
945,9456.010000000002
946,9066.010000000002
947,8871.010000000002
948,8676.01
949,9016.010000000002
950,9016.010000000002
951,8821.01
952,9031.009000000002
953,8836.009000000002
954,8056.01
955,8101.011
956,8491.009000000002
957,8300.008
958,8300.008
959,8495.008000000002
960,8435.009
961,8244.009
962,8047.009
963,8487.009
964,9310.009
965,8720.01
966,8721.009
967,8929.008
968,8929.01
969,8400.01
970,8788.011
971,9178.011
972,9368.012
973,8933.011
974,8933.012
975,9128.012
976,8883.012
977,8503.010000000002
978,8308.011000000002
979,8630.014000000001
980,8092.015
981,8103.014
982,7913.013000000001
983,7728.011000000001
984,6941.013000000001
985,7123.0160000000005
986,7575.013000000001
987,7565.015000000001
988,7758.0160000000005
989,7968.0160000000005
990,7775.015000000001
991,7197.014
992,6859.0120000000015
993,7343.015
994,8512.015000000001
995,8507.017000000002
996,8904.016000000001
997,9294.015000000001
998,9488.016000000001
999,9048.015000000001
1000,9828.015000000001
1001,10027.016
1002,10614.016000000001
1003,10419.016000000001
1004,10369.016000000001
1005,10172.018000000002
1006,9542.018
1007,8706.021
1008,8511.021
1009,8115.022000000002
1010,7924.021000000002
1011,8175.022000000001
1012,7982.021000000001
1013,7761.021000000001
1014,6968.022000000001
1015,6968.022000000001
1016,7213.022000000001
1017,7609.022000000001
1018,7615.022000000001
1019,8009.021000000001
1020,7419.022000000001
1021,7029.024000000001
1022,6484.0250000000015
1023,7067.024000000001
1024,7852.024000000001
1025,8208.022
1026,8409.020000000002
1027,9017.017000000002
1028,8807.018
1029,8399.025000000001
1030,8602.023000000001
1031,9006.025000000001
1032,9989.025000000001
1033,9597.025000000001
1034,9222.023000000001
1035,9619.021
1036,9816.02
1037,8688.024
1038,8883.024
1039,8883.025
1040,9085.025
1041,9234.025
1042,8603.026
1043,8211.027
1044,8057.027
1045,7834.031
1046,8089.029
1047,8426.029
1048,8219.030999999999
1049,8186.033
1050,7012.033000000001
1051,6473.030000000001
1052,6381.027
1053,6960.028000000001
1054,7745.026000000001
1055,7957.0250000000015
1056,7868.022000000001
1057,8208.024000000001
1058,8005.027
1059,7818.026
1060,8528.026000000002
1061,9131.026000000002
1062,9715.024000000003
1063,9708.023000000001
1064,9136.024000000001
1065,9531.022000000003
1066,9676.022000000003
1067,8858.025000000001
1068,8861.027
1069,8613.029
1070,8810.029
1071,9199.029
1072,9004.03
1073,8819.028
1074,8429.028000000002
1075,8246.026000000002
1076,8252.028
1077,8364.034000000001
1078,8773.033000000001
1079,9133.038000000002
1080,11987.041000000001
1081,10822.041000000001
1082,10422.047
1083,10894.047
1084,11486.049
1085,11527.050000000001
1086,11189.054000000002
1087,11782.056000000002
1088,11562.059000000003
1089,11188.059000000003
1090,11939.062000000004
1091,12344.059000000003
1092,12916.065000000002
1093,12723.069000000003
1094,12148.074000000002
1095,12207.075000000003
1096,12796.077000000005
1097,12072.077000000001
1098,11884.086000000003
1099,12110.088000000003
1100,12367.090000000004
