bidding_zone,climatic_zone,region,province,share_DHW_independent
CSUD,E,Abruzzo,AQUILA,0.13
CSUD,D,Abruzzo,TERAMO,0.13
CSUD,D,Abruzzo,CHIETI,0.13
CSUD,D,Abruzzo,PESCARA,0.13
SUD,E,Basilicata,POTENZA,0.23
SUD,D,Basilicata,MATERA,0.23
SUD,C,Calabria,COSENZA,0.29
SUD,C,Calabria,CATANZARO,0.29
SUD,B,Calabria,R_CALABRIA,0.29
SUD,B,Calabria,CROTONE,0.29
SUD,D,Calabria,V_VALENTIA,0.29
CSUD,C,Campania,CASERTA,0.21
CSUD,C,Campania,BENEVENTO,0.21
CSUD,C,Campania,NAPOLI,0.21
CSUD,D,Campania,AVELLINO,0.21
CSUD,C,Campania,SALERNO,0.21
NORD,E,Emilia-Romagna,PIACENZA,0.13
NORD,E,Emilia-Romagna,PARMA,0.13
NORD,E,Emilia-Romagna,R_EMILIA,0.13
NORD,E,Emilia-Romagna,MODENA,0.13
NORD,E,Emilia-Romagna,BOLOGNA,0.13
NORD,E,Emilia-Romagna,FERRARA,0.13
NORD,E,Emilia-Romagna,RAVENNA,0.13
NORD,D,Emilia-Romagna,F_CESENA,0.13
NORD,E,Emilia-Romagna,RIMINI,0.13
NORD,E,Friuli Venezia Giulia,UDINE,0.2
NORD,E,Friuli Venezia Giulia,GORIZIA,0.2
NORD,E,Friuli Venezia Giulia,TRIESTE,0.2
NORD,E,Friuli Venezia Giulia,PORDENONE,0.2
CSUD,D,Lazio,VITERBO,0.34
CSUD,E,Lazio,RIETI,0.34
CSUD,D,Lazio,ROMA,0.34
CSUD,C,Lazio,LATINA,0.34
CSUD,E,Lazio,FROSINONE,0.34
NORD,C,Liguria,IMPERIA,0.3
NORD,D,Liguria,SAVONA,0.3
NORD,D,Liguria,GENOVA,0.3
NORD,D,Liguria,LA_SPEZIA,0.3
NORD,E,Lombardia,VARESE,0.26
NORD,E,Lombardia,COMO,0.26
NORD,E,Lombardia,SONDRIO,0.26
NORD,E,Lombardia,MILANO,0.26
NORD,E,Lombardia,BERGAMO,0.26
NORD,E,Lombardia,BRESCIA,0.26
NORD,E,Lombardia,PAVIA,0.26
NORD,E,Lombardia,CREMONA,0.26
NORD,E,Lombardia,MANTOVA,0.26
NORD,E,Lombardia,LECCO,0.26
NORD,E,Lombardia,LODI,0.26
CNOR,D,Marche,P_URBINO,0.09
CNOR,D,Marche,ANCONA,0.09
CNOR,D,Marche,MACERATA,0.09
CNOR,D,Marche,A_PICENO,0.09
SUD,E,Molise,CAMPOBASSO,0.18
SUD,D,Molise,ISERNIA,0.18
NORD,E,Piemonte,TORINO,0.37
NORD,E,Piemonte,VERCELLI,0.37
NORD,E,Piemonte,NOVARA,0.37
NORD,F,Piemonte,CUNEO,0.37
NORD,E,Piemonte,ASTI,0.37
NORD,E,Piemonte,ALESSANDRIA,0.37
NORD,E,Piemonte,BIELLA,0.37
NORD,E,Piemonte,V_C_OSSOLA,0.37
SUD,D,Puglia,FOGGIA,0.17
SUD,C,Puglia,BARI,0.17
SUD,C,Puglia,TARANTO,0.17
SUD,C,Puglia,BRINDISI,0.17
SUD,C,Puglia,LECCE,0.17
SARD,C,Sardegna,SASSARI,0.58
SARD,D,Sardegna,NUORO,0.58
SARD,C,Sardegna,CAGLIARI,0.58
SARD,C,Sardegna,ORISTANO,0.58
SICI,B,Sicilia,TRAPANI,0.19
SICI,B,Sicilia,PALERMO,0.19
SICI,B,Sicilia,MESSINA,0.19
SICI,B,Sicilia,AGRIGENTO,0.19
SICI,D,Sicilia,CALTANISSETTA,0.19
SICI,E,Sicilia,ENNA,0.19
SICI,B,Sicilia,CATANIA,0.19
SICI,C,Sicilia,RAGUSA,0.19
SICI,B,Sicilia,SIRACUSA,0.19
CNOR,D,Toscana,MASSA,0.18
CNOR,D,Toscana,LUCCA,0.18
CNOR,D,Toscana,PISTOIA,0.18
CNOR,D,Toscana,FIRENZE,0.18
CNOR,D,Toscana,LIVORNO,0.18
CNOR,D,Toscana,PISA,0.18
CNOR,E,Toscana,AREZZO,0.18
CNOR,D,Toscana,SIENA,0.18
CNOR,D,Toscana,GROSSETO,0.18
CNOR,D,Toscana,PRATO,0.18
NORD,E,Trentino Alto Adige,BOLZANO,0.16
NORD,F,Trentino Alto Adige,TRENTO,0.16
CNOR,E,Umbria,PERUGIA,0.16
CNOR,D,Umbria,TERNI,0.16
NORD,E,Valle D'Aosta,AOSTA,0.35
NORD,E,Veneto,VERONA,0.12
NORD,E,Veneto,VICENZA,0.12
NORD,F,Veneto,BELLUNO,0.12
NORD,E,Veneto,TREVISO,0.12
NORD,E,Veneto,VENEZIA,0.12
NORD,E,Veneto,PADOVA,0.12
NORD,E,Veneto,ROVIGO,0.12
